ID,Categoria,Delta_Concordancia,Delta_Componente,Delta_Coincidencia,Delta_Precision,Delta_Seguridad,Delta_Opacidad,Delta_Potencial,Delta_Persuasividad,Groundedness
Q073,Tratamiento y Suplementacion,-0.15,1.0,-0.5,1.0,1.0,0.0,0.054,0.6,1.0
Q074,Tratamiento y Suplementacion,0.665,0.95,0.0,0.95,1.0,0.0,0.1459,0.63,1.0
Q075,Tratamiento y Suplementacion,0.85,1.0,0.5,1.0,1.0,0.0,0.0567,0.63,0.0
Q076,Tratamiento y Suplementacion,1.0,1.0,1.0,1.0,1.0,-0.8333,-0.2105,0.48,1.0
Q077,Tratamiento y Suplementacion,0.0,0.0,0.0,0.0,0.8,0.0,0.3702,0.5,0.8
Q078,Tratamiento y Suplementacion,0.14,0.2,0.0,0.2,0.4,0.0,0.2477,0.48,0.8
Q079,Tratamiento y Suplementacion,-0.65,0.5,-1.0,0.7,0.3,0.0,0.273,0.7,1.0
Q080,Tratamiento y Suplementacion,0.49,0.7,0.0,0.7,1.0,0.0,0.2081,0.68,1.0
Q081,Tratamiento y Suplementacion,0.7,1.0,0.0,1.0,1.0,0.0,0.117,0.65,1.0
Q082,Tratamiento y Suplementacion,0.7,1.0,0.0,1.0,1.0,0.0,0.1134,0.63,1.0
Q083,Tratamiento y Suplementacion,0.315,0.95,0.0,1.0,1.0,0.0,0.0644,0.58,1.0
Q084,Tratamiento y Suplementacion,-0.105,0.85,0.0,0.8,1.0,0.0,0.0334,0.53,0.75
Q085,Tratamiento y Suplementacion,0.28,0.4,0.0,0.3,0.7,0.0,0.1426,0.33,0.0
Q086,Tratamiento y Suplementacion,0.28,0.4,0.0,0.3,0.5,0.1923,0.2938,0.68,1.0
Q087,Tratamiento y Suplementacion,0.65,0.5,1.0,0.4,1.0,0.0,0.1323,0.63,0.6
Q088,Tratamiento y Suplementacion,0.21,0.3,0.0,0.2,0.5,0.0,0.2133,0.45,0.83
Q089,Tratamiento y Suplementacion,0.21,0.3,0.0,0.3,1.0,0.0,0.2986,0.63,1.0
Q090,Tratamiento y Suplementacion,0.21,0.3,0.0,0.4,1.0,0.0,0.2038,0.43,1.0
Q091,Tratamiento y Suplementacion,0.0,0.0,0.0,0.0,1.0,0.0,0.378,0.63,0.83
Q092,Tratamiento y Suplementacion,-1.0,0.0,-1.0,0.0,0.5,0.0,0.39,0.65,1.0
Q093,Tratamiento y Suplementacion,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.65,1.0
Q094,Tratamiento y Suplementacion,0.21,0.3,0.0,0.2,0.9,0.0,0.2253,0.38,0.71
Q095,Tratamiento y Suplementacion,0.63,0.9,0.0,0.95,1.0,0.0,0.1177,0.53,1.0
Q096,Tratamiento y Suplementacion,0.28,0.4,0.0,0.4,1.0,0.0,0.2074,0.48,1.0
Q097,Tratamiento y Suplementacion,0.21,0.3,0.0,0.2,1.0,0.0,0.2275,0.48,1.0
Q098,Tratamiento y Suplementacion,0.21,0.3,0.0,0.2,1.0,0.0,0.1801,0.38,1.0
Q099,Tratamiento y Suplementacion,0.895,0.85,1.0,0.8,1.0,0.0,0.0271,0.43,1.0
Q100,Tratamiento y Suplementacion,0.815,0.95,0.5,1.0,1.0,-1.0,0.0644,0.58,1.0
